sensor_id,timestamp,temperature,humidity,location,sensor_type
1043,2025-04-06 12:00:28,33.91,69.34,BuildingB_Floor1,TypeC
1030,2025-04-09 16:44:42,20.31,71.61,BuildingA_Floor2,TypeA
1032,2025-04-09 11:55:27,33.8,61.8,BuildingA_Floor2,TypeB
1038,2025-04-10 17:16:43,21.93,75.44,BuildingB_Floor2,TypeB
1027,2025-04-07 07:44:02,22.75,67.53,BuildingA_Floor2,TypeB
1009,2025-04-09 08:31:55,23.81,63.39,BuildingB_Floor1,TypeA
1083,2025-04-10 00:20:17,32.47,41.5,BuildingB_Floor1,TypeB
1019,2025-04-09 11:49:09,17.21,44.51,BuildingA_Floor2,TypeA
1085,2025-04-08 17:27:39,33.53,34.81,BuildingA_Floor2,TypeC
1022,2025-04-10 09:27:27,30.63,50.25,BuildingA_Floor2,TypeB
1100,2025-04-06 09:36:12,29.26,30.16,BuildingA_Floor1,TypeA
1018,2025-04-09 04:09:31,26.46,40.8,BuildingA_Floor2,TypeC
1015,2025-04-07 17:55:01,24.08,48.46,BuildingB_Floor2,TypeB
1070,2025-04-09 03:33:36,16.89,69.93,BuildingA_Floor1,TypeC
1083,2025-04-07 15:17:22,26.26,51.41,BuildingA_Floor2,TypeB
1069,2025-04-06 08:51:08,20.76,47.29,BuildingA_Floor1,TypeA
1076,2025-04-08 21:41:39,33.67,64.02,BuildingA_Floor2,TypeA
1076,2025-04-08 01:28:59,33.33,60.45,BuildingA_Floor2,TypeC
1027,2025-04-06 19:14:48,29.47,79.64,BuildingA_Floor2,TypeC
1049,2025-04-08 12:37:01,28.42,54.31,BuildingA_Floor2,TypeA
1099,2025-04-08 05:41:08,25.46,61.89,BuildingA_Floor1,TypeC
1032,2025-04-07 07:49:28,18.07,57.65,BuildingB_Floor1,TypeA
1057,2025-04-08 18:02:56,33.04,54.39,BuildingB_Floor2,TypeB
1097,2025-04-11 02:57:40,20.57,66.23,BuildingA_Floor1,TypeA
1009,2025-04-08 16:06:29,21.55,72.32,BuildingB_Floor2,TypeC
1016,2025-04-07 20:30:31,25.48,72.19,BuildingA_Floor2,TypeA
1039,2025-04-09 21:41:40,29.16,75.54,BuildingA_Floor2,TypeA
1021,2025-04-10 14:55:51,26.29,42.96,BuildingB_Floor1,TypeC
1042,2025-04-06 11:38:19,20.22,48.77,BuildingB_Floor2,TypeC
1075,2025-04-10 17:54:37,30.96,44.78,BuildingA_Floor2,TypeA
1024,2025-04-10 00:47:11,34.16,52.4,BuildingA_Floor1,TypeA
1072,2025-04-11 03:14:38,32.35,31.42,BuildingA_Floor2,TypeB
1098,2025-04-10 23:22:43,15.58,70.4,BuildingA_Floor1,TypeC
1049,2025-04-09 01:37:34,15.73,56.39,BuildingB_Floor1,TypeC
1028,2025-04-09 23:33:27,31.97,65.53,BuildingA_Floor2,TypeC
1028,2025-04-09 10:08:01,25.36,51.8,BuildingB_Floor1,TypeB
1028,2025-04-06 20:45:43,25.52,74.6,BuildingB_Floor1,TypeA
1026,2025-04-06 21:03:30,19.29,36.71,BuildingA_Floor2,TypeA
1094,2025-04-09 02:48:53,25.04,77.02,BuildingA_Floor2,TypeB
1056,2025-04-07 07:04:34,25.43,39.03,BuildingA_Floor2,TypeB
1029,2025-04-10 19:12:43,16.05,63.26,BuildingB_Floor1,TypeB
1018,2025-04-10 07:33:08,28.87,78.37,BuildingB_Floor2,TypeB
1089,2025-04-06 04:26:00,15.54,43.44,BuildingB_Floor2,TypeC
1091,2025-04-11 02:05:19,29.81,78.53,BuildingB_Floor1,TypeB
1036,2025-04-09 21:03:00,17.23,56.68,BuildingB_Floor1,TypeC
1055,2025-04-10 00:23:40,16.06,73.18,BuildingA_Floor1,TypeB
1083,2025-04-07 12:48:12,24.98,39.53,BuildingA_Floor1,TypeC
1082,2025-04-11 01:16:17,19.54,50.24,BuildingB_Floor1,TypeB
1065,2025-04-07 03:19:05,19.55,64.83,BuildingA_Floor2,TypeB
1000,2025-04-09 17:24:39,28.93,73.39,BuildingB_Floor1,TypeB
1048,2025-04-10 18:54:12,27.32,70.93,BuildingB_Floor2,TypeA
1098,2025-04-07 17:43:01,28.66,51.85,BuildingB_Floor2,TypeC
1052,2025-04-09 00:16:19,16.26,67.31,BuildingA_Floor2,TypeA
1048,2025-04-07 17:00:02,20.02,52.91,BuildingA_Floor2,TypeC
