hour_of_day,avg_temp
0,24.717906976744185
1,27.071190476190477
2,25.542553191489368
3,25.68624999999999
4,25.396938775510197
5,24.303958333333327
6,25.92318181818182
7,25.091388888888886
8,24.202499999999997
9,25.804285714285715
10,27.092285714285712
11,24.332631578947364
12,25.253235294117648
13,24.548055555555557
14,27.868333333333336
15,24.147380952380953
16,24.916666666666675
17,24.969152542372886
18,25.659210526315793
19,25.80439024390244
20,24.50470588235295
21,24.748717948717957
22,23.03825
23,23.77821428571429
